Munic�pio de resid�ncia,Em branco/IGN,<1 Ano,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80 e +,Total
260580 FREI MIGUELINHO,-,2,-,1,1,-,2,1,-,-,-,-,7
260590 GAMELEIRA,-,-,2,4,7,2,19,11,3,1,-,-,49
260600 GARANHUNS,-,2,3,3,7,8,23,12,2,1,-,-,61
260610 GLORIA DO GOITA,-,-,-,-,2,-,-,-,-,-,-,-,2
260620 GOIANA,-,-,-,1,-,3,2,1,-,-,-,-,7
260630 GRANITO,-,-,5,8,11,15,35,23,1,-,2,-,100
260640 GRAVATA,-,-,-,2,-,2,3,3,-,-,-,-,10
260650 IATI,-,-,1,-,-,-,-,-,-,-,-,-,1
260660 IBIMIRIM,-,-,1,1,2,-,-,1,-,-,-,-,5
260680 IGARASSU,-,-,4,7,9,11,82,29,-,-,4,-,146
260690 IGUARACY,-,-,-,-,-,-,-,1,-,-,-,-,1
260700 INAJA,-,1,-,1,2,-,-,-,-,-,-,-,4
260720 IPOJUCA,-,-,1,-,-,1,1,2,-,-,-,-,5
260730 IPUBI,-,-,4,6,5,2,11,4,1,-,-,-,33
260740 ITACURUBA,-,-,-,-,-,2,9,1,-,1,-,-,13
260750 ITAIBA,-,1,15,20,24,18,48,30,6,2,5,-,169
260760 ILHA DE ITAMARACA,-,-,2,1,3,1,2,4,1,-,-,-,14
260765 ITAMBE,-,-,1,1,1,-,3,3,-,-,-,-,9
260770 ITAPETIM,-,-,-,-,-,-,2,1,-,-,-,-,3
260775 ITAPISSUMA,-,-,4,1,1,1,12,7,-,-,-,-,26
260780 ITAQUITINGA,-,-,4,2,5,2,12,7,1,-,-,-,33
260790 JABOATAO DOS GUARARAPES,1,24,94,137,102,96,615,319,30,11,12,3,1444
260795 JAQUEIRA,-,1,-,-,-,-,-,-,-,-,-,-,1
260800 JATAUBA,-,-,-,-,2,1,8,-,-,-,-,1,12
260805 JATOBA,-,1,-,-,-,-,2,1,-,-,-,-,4
260820 JOAQUIM NABUCO,-,-,-,-,1,-,-,-,-,-,-,-,1
260825 JUCATI,-,-,1,1,3,3,5,2,-,-,-,-,15
260830 JUPI,-,-,-,-,-,-,2,2,-,-,-,-,4
260840 JUREMA,-,-,-,-,2,-,3,2,-,-,-,-,7
260845 LAGOA DO CARRO,-,1,2,3,1,3,17,6,1,-,-,-,34
260850 LAGOA DE ITAENGA,-,-,1,-,-,-,-,1,-,-,-,-,2
260870 LAGOA DOS GATOS,-,-,-,1,-,2,-,-,-,-,-,-,3
260875 LAGOA GRANDE,-,1,-,-,-,-,1,1,-,-,-,-,3
260880 LAJEDO,-,-,-,-,-,-,1,-,-,-,-,-,1
260890 LIMOEIRO,-,5,10,10,5,14,19,25,2,1,2,-,93
260900 MACAPARANA,-,-,-,-,-,-,1,1,-,-,-,-,2
260910 MACHADOS,-,-,-,1,-,-,-,-,-,-,-,-,1
260915 MANARI,-,-,-,-,1,2,1,3,-,-,-,-,7
260920 MARAIAL,-,-,-,-,-,-,2,1,-,-,-,-,3
260930 MIRANDIBA,-,-,1,-,-,-,1,1,-,-,-,-,3
260940 MORENO,-,-,-,1,2,1,8,6,-,-,-,-,18
260950 NAZARE DA MATA,-,-,-,1,-,-,1,1,-,-,-,-,3
260960 OLINDA,-,11,18,31,25,42,183,104,5,5,6,-,430
260970 OROBO,-,-,-,-,-,-,1,1,-,-,-,-,2
260980 OROCO,-,-,-,-,-,-,-,1,-,-,-,-,1
260990 OURICURI,-,-,-,-,-,1,2,1,1,-,-,-,5
261000 PALMARES,-,-,1,-,1,-,4,1,-,-,1,-,8
261010 PALMEIRINA,-,-,-,1,-,-,1,-,-,-,-,-,2
261020 PANELAS,-,-,2,5,-,2,2,3,1,-,-,-,15
261030 PARANATAMA,-,-,-,1,-,1,-,2,-,-,-,-,4
261040 PARNAMIRIM,-,-,1,-,1,-,5,-,-,-,-,-,7
261050 PASSIRA,-,5,6,5,10,7,33,12,2,-,-,1,81
261060 PAUDALHO,-,2,5,9,10,12,34,17,2,2,2,-,95
261070 PAULISTA,-,23,27,88,72,77,550,207,20,7,7,1,1079
261080 PEDRA,-,-,1,-,-,-,-,-,-,-,-,-,1
261090 PESQUEIRA,-,3,3,-,-,-,5,2,-,-,-,-,13
261100 PETROLANDIA,-,-,-,-,-,1,3,-,-,-,-,-,4
261110 PETROLINA,-,1,4,8,7,-,27,17,3,-,-,-,67
261120 POCAO,-,-,-,-,4,2,9,5,-,-,-,-,20
261130 POMBOS,-,-,2,1,1,1,3,1,-,-,-,-,9
261140 PRIMAVERA,-,-,-,-,1,-,3,1,-,-,-,-,5
261150 QUIPAPA,-,-,-,4,1,3,13,7,1,-,1,-,30
261160 RECIFE,-,27,57,136,114,89,665,292,27,17,10,3,1437
261170 RIACHO DAS ALMAS,-,-,1,2,-,-,1,1,-,-,-,-,5
261180 RIBEIRAO,-,-,2,-,1,-,2,2,-,-,-,-,7
261200 SAIRE,-,-,-,-,-,1,4,2,-,-,-,-,7
261210 SALGADINHO,-,-,-,-,1,-,1,-,-,-,-,-,2
261220 SALGUEIRO,-,2,3,2,1,6,11,5,-,1,1,-,32
261230 SALOA,-,-,-,-,-,1,-,-,-,-,-,-,1
261240 SANHARO,-,-,3,1,1,-,2,2,-,-,-,-,9
261245 SANTA CRUZ,-,-,-,1,1,1,3,3,-,-,-,-,9
261247 SANTA CRUZ DA BAIXA VERDE,-,-,-,-,1,1,1,1,-,-,-,-,4
261250 SANTA CRUZ DO CAPIBARIBE,-,2,2,2,-,2,2,4,-,-,-,-,14
261255 SANTA FILOMENA,-,-,1,-,3,6,12,7,1,-,-,-,30
261280 SANTA TEREZINHA,-,-,1,1,-,-,2,2,-,-,-,-,6
261290 SAO BENEDITO DO SUL,-,-,-,1,-,-,-,-,-,-,-,-,1
261300 SAO BENTO DO UNA,-,2,4,1,2,-,5,4,-,-,1,-,19
261320 SAO JOAO,-,-,-,-,1,-,4,1,-,-,-,-,6
261330 SAO JOAQUIM DO MONTE,-,-,-,-,-,1,-,-,-,-,-,-,1
261340 SAO JOSE DA COROA GRANDE,-,-,-,-,2,-,1,-,-,-,-,-,3
261350 SAO JOSE DO BELMONTE,-,-,4,4,9,7,27,15,1,3,-,1,71
261360 SAO JOSE DO EGITO,-,1,7,8,5,5,6,5,2,-,-,-,39
261370 SAO LOURENCO DA MATA,-,1,3,4,5,3,15,7,-,-,1,-,39
261390 SERRA TALHADA,-,-,6,1,5,1,6,2,1,-,-,-,22
261400 SERRITA,-,-,1,-,-,-,-,-,-,1,-,-,2
261410 SERTANIA,-,-,1,1,-,-,2,-,-,-,-,-,4
261420 SIRINHAEM,-,-,-,-,1,-,-,-,-,-,-,-,1
261430 MOREILANDIA,-,-,1,-,2,2,4,1,-,-,-,-,10
261440 SOLIDAO,-,-,-,2,-,1,2,-,-,-,-,-,5
261450 SURUBIM,-,3,1,-,1,-,7,-,-,-,1,-,13
261460 TABIRA,-,-,3,3,1,2,2,2,-,-,-,-,13
261470 TACAIMBO,-,2,1,3,1,1,3,2,-,-,-,-,13
261480 TACARATU,-,-,-,-,-,-,-,1,-,-,-,-,1
261485 TAMANDARE,-,-,-,1,-,2,-,1,-,-,-,-,4
261500 TAQUARITINGA DO NORTE,-,1,-,1,5,-,4,2,-,-,-,-,13
261510 TEREZINHA,-,-,1,1,6,3,16,2,-,-,-,-,29
261520 TERRA NOVA,-,-,1,1,1,1,9,4,-,-,-,-,17
261530 TIMBAUBA,-,-,1,1,-,-,5,-,-,-,-,-,7
261540 TORITAMA,-,-,4,8,2,-,-,-,-,-,-,-,14
261550 TRACUNHAEM,-,-,1,1,-,4,18,5,-,-,-,-,29
261560 TRINDADE,-,-,-,1,2,-,1,5,-,-,2,-,11
261570 TRIUNFO,-,-,1,-,-,-,1,1,-,-,-,-,3
261580 TUPANATINGA,-,1,-,-,1,-,1,-,-,-,-,-,3
261590 TUPARETAMA,-,-,1,-,-,1,1,1,1,-,-,1,6
261600 VENTUROSA,1,-,-,1,-,-,2,-,-,-,-,-,4
261610 VERDEJANTE,-,-,-,-,2,2,2,3,-,-,-,-,9
261620 VERTENTES,-,1,3,-,2,-,5,4,-,1,-,-,16
261630 VICENCIA,-,-,-,1,-,-,4,-,-,-,-,-,5
261640 VITORIA DE SANTO ANTAO,-,3,13,22,13,18,126,38,1,2,-,1,237
261650 XEXEU,-,1,-,-,-,-,-,-,-,-,-,-,1
270020 ANADIA,-,-,-,3,1,3,8,7,2,1,-,-,25
270030 ARAPIRACA,-,5,5,33,38,37,211,64,5,4,5,-,407
270040 ATALAIA,-,1,-,4,2,1,1,-,-,-,-,-,9
270050 BARRA DE SANTO ANTONIO,-,-,-,-,-,-,1,-,-,-,-,-,1
270060 BARRA DE SAO MIGUEL,-,-,-,-,-,1,2,1,-,-,-,-,4
270080 BELEM,-,-,-,-,-,1,-,1,-,-,-,-,2
270090 BELO MONTE,-,-,-,-,1,-,-,1,-,-,-,-,2
270100 BOCA DA MATA,-,2,3,7,20,15,26,14,-,2,2,1,92
270110 BRANQUINHA,-,-,1,4,4,8,9,4,2,-,-,-,32
270120 CACIMBINHAS,-,-,-,-,-,-,1,1,-,-,-,-,2
270130 CAJUEIRO,-,-,-,-,-,-,1,2,-,-,-,-,3
270140 CAMPO ALEGRE,-,3,7,13,13,23,42,21,-,3,1,-,126
270150 CAMPO GRANDE,-,-,-,-,1,-,1,-,-,-,-,-,2
270160 CANAPI,-,-,-,1,-,-,2,-,1,-,-,-,4
270170 CAPELA,-,1,-,2,3,7,18,6,2,1,-,-,40
270200 COITE DO NOIA,-,-,-,-,-,-,-,-,-,1,-,-,1
270210 COLONIA LEOPOLDINA,-,1,5,7,2,2,9,8,-,-,-,-,34
270220 COQUEIRO SECO,-,-,-,1,-,1,1,2,-,-,-,-,5
270230 CORURIPE,-,-,4,14,9,9,48,27,3,1,-,-,115
270235 CRAIBAS,-,-,-,1,-,-,-,1,-,-,-,-,2
270240 DELMIRO GOUVEIA,-,1,2,3,1,4,4,2,-,-,-,-,17
270250 DOIS RIACHOS,-,-,-,-,-,-,1,-,-,-,-,-,1
270255 ESTRELA DE ALAGOAS,-,-,2,-,-,1,-,1,1,-,-,-,5
270260 FEIRA GRANDE,-,1,2,4,2,2,9,3,1,-,-,-,24
270270 FELIZ DESERTO,-,-,-,-,1,-,1,-,-,-,-,-,2
270280 FLEXEIRAS,-,-,-,-,1,-,-,-,-,-,-,-,1
270290 GIRAU DO PONCIANO,-,-,1,-,-,1,-,3,-,-,-,-,5
270300 IBATEGUARA,-,-,2,1,3,-,3,2,-,-,-,-,11
270320 IGREJA NOVA,-,-,-,-,-,-,4,-,-,-,-,-,4
270330 INHAPI,-,-,1,-,-,2,1,2,-,-,-,-,6
270340 JACARE DOS HOMENS,-,-,-,-,-,1,1,1,-,-,1,1,5
270350 JACUIPE,-,-,-,-,1,-,2,-,-,-,-,-,3
270360 JAPARATINGA,-,-,-,-,-,-,4,1,1,-,-,-,6
270370 JARAMATAIA,-,-,-,-,1,-,2,-,-,-,-,-,3
270375 JEQUIA DA PRAIA,-,-,-,-,-,2,1,2,-,-,-,-,5
270380 JOAQUIM GOMES,-,-,-,-,-,-,2,2,1,-,-,-,5
270400 JUNQUEIRO,-,-,-,-,3,5,7,6,1,1,1,1,25
270410 LAGOA DA CANOA,-,-,-,1,-,-,-,-,-,-,-,-,1
270420 LIMOEIRO DE ANADIA,-,1,-,2,-,1,7,2,-,-,-,-,13
270430 MACEIO,1,44,117,164,156,197,1142,383,30,27,21,8,2290
270440 MAJOR ISIDORO,-,-,-,-,-,-,-,2,-,-,-,-,2
270450 MARAGOGI,-,1,3,1,4,11,50,16,2,1,-,1,90
270460 MARAVILHA,-,-,1,-,-,-,-,-,-,-,-,-,1
270470 MARECHAL DEODORO,-,-,4,-,3,4,10,5,-,1,-,-,27
270480 MARIBONDO,-,-,2,2,-,1,-,2,-,-,-,-,7
270500 MATA GRANDE,-,-,1,-,-,-,5,-,-,-,-,-,6
270510 MATRIZ DE CAMARAGIBE,-,-,-,-,1,1,7,1,-,-,1,-,11
270550 MURICI,-,-,3,4,2,4,5,4,-,1,1,-,24
270560 NOVO LINO,-,-,-,-,-,-,1,-,-,-,-,-,1
270570 OLHO D'AGUA DAS FLORES,-,-,-,-,-,-,4,-,-,-,-,-,4
270580 OLHO D'AGUA DO CASADO,-,-,-,-,-,-,1,1,-,-,-,-,2
270590 OLHO D'AGUA GRANDE,-,-,-,-,-,-,1,-,-,-,-,-,1
270610 OURO BRANCO,-,-,-,1,-,-,1,-,-,-,-,-,2
270630 PALMEIRA DOS INDIOS,-,2,3,6,8,9,30,15,1,1,-,-,75
270640 PAO DE ACUCAR,-,-,-,-,-,-,1,-,-,-,-,-,1
270642 PARICONHA,-,-,-,-,-,-,1,-,-,-,-,-,1
270650 PASSO DE CAMARAGIBE,-,1,-,-,-,-,-,-,-,-,-,-,1
270660 PAULO JACINTO,-,-,-,-,-,-,1,-,-,-,-,-,1
270670 PENEDO,-,-,-,-,-,1,-,-,-,-,-,-,1
270680 PIACABUCU,-,-,-,-,-,-,1,-,-,-,-,-,1
270690 PILAR,1,1,2,-,-,2,6,-,-,-,-,-,12
270710 PIRANHAS,-,1,-,-,2,-,1,-,-,-,-,-,4
270730 PORTO CALVO,-,2,3,3,3,1,26,9,3,-,-,-,50
270740 PORTO DE PEDRAS,-,-,-,-,-,-,-,1,-,-,-,-,1
270750 PORTO REAL DO COLEGIO,-,-,-,-,1,1,6,3,-,1,-,-,12
270760 QUEBRANGULO,-,-,-,-,-,-,-,1,-,1,-,-,2
270770 RIO LARGO,-,1,3,2,2,3,21,10,-,-,-,-,42
270780 ROTEIRO,-,-,-,-,-,1,3,1,1,-,-,-,6
270790 SANTA LUZIA DO NORTE,-,1,-,1,-,3,4,4,1,-,-,-,14
270800 SANTANA DO IPANEMA,-,1,1,1,1,-,1,2,-,-,-,-,7
270810 SANTANA DO MUNDAU,-,1,4,1,3,7,23,5,-,-,3,1,48
270830 SAO JOSE DA LAJE,-,-,3,1,4,7,10,4,1,1,-,1,32
270840 SAO JOSE DA TAPERA,-,-,-,-,-,-,1,-,-,-,-,-,1
270850 SAO LUIS DO QUITUNDE,-,-,1,-,-,-,1,-,-,-,1,-,3
270860 SAO MIGUEL DOS CAMPOS,-,1,3,10,18,32,116,47,5,3,3,-,238
270870 SAO MIGUEL DOS MILAGRES,-,1,-,-,-,-,-,-,-,-,-,-,1
270880 SAO SEBASTIAO,-,-,-,-,-,-,1,-,-,-,-,-,1
270890 SATUBA,-,1,2,4,2,-,6,2,1,-,-,-,18
270895 SENADOR RUI PALMEIRA,-,-,-,1,-,-,-,-,-,-,-,-,1
270900 TANQUE D'ARCA,-,-,-,-,-,-,1,-,-,-,-,-,1
270910 TAQUARANA,-,-,-,-,1,-,5,1,-,-,-,-,7
270915 TEOTONIO VILELA,-,-,-,2,1,2,2,-,-,-,-,-,7
270920 TRAIPU,-,-,1,4,1,1,7,4,-,-,-,-,18
270930 UNIAO DOS PALMARES,-,14,48,65,92,81,224,83,9,6,5,5,632
270940 VICOSA,-,-,3,-,-,1,2,1,-,-,-,-,7
280010 AMPARO DE SAO FRANCISCO,-,-,-,-,-,-,-,1,-,-,-,-,1
280020 AQUIDABA,-,1,1,6,4,3,6,2,-,-,1,-,24
280030 ARACAJU,-,10,62,130,150,105,391,159,20,9,15,5,1056
280040 ARAUA,-,1,-,5,10,4,8,5,-,1,1,-,35
280050 AREIA BRANCA,-,-,-,-,3,-,6,5,-,-,-,-,14
280060 BARRA DOS COQUEIROS,-,-,3,8,6,8,14,14,1,1,2,-,57
280067 BOQUIM,-,-,2,7,5,1,3,3,1,1,-,-,23
280070 BREJO GRANDE,-,-,-,-,-,-,1,-,-,-,-,-,1
280100 CAMPO DO BRITO,-,-,1,1,6,2,2,2,-,-,-,-,14
280110 CANHOBA,-,1,-,2,2,-,5,-,-,1,-,-,11
280120 CANINDE DE SAO FRANCISCO,-,-,-,-,3,-,6,4,-,-,-,1,14
280130 CAPELA,-,1,1,2,1,1,2,1,-,-,-,-,9
280140 CARIRA,-,-,-,1,2,2,1,1,-,-,-,-,7
280150 CARMOPOLIS,-,2,1,11,16,9,10,6,1,-,1,-,57
280160 CEDRO DE SAO JOAO,-,-,-,-,-,-,1,-,-,-,-,-,1
280170 CRISTINAPOLIS,-,-,-,1,1,2,3,1,1,-,-,-,9
280190 CUMBE,-,-,1,3,1,-,1,1,-,-,2,-,9
280210 ESTANCIA,-,-,1,7,11,12,30,14,2,2,-,1,80
280220 FEIRA NOVA,-,1,1,2,3,1,6,7,-,-,-,-,21
280230 FREI PAULO,-,-,2,2,-,1,1,-,-,-,-,-,6
280240 GARARU,-,1,-,-,9,7,12,13,2,1,2,1,48
280250 GENERAL MAYNARD,-,-,-,1,1,-,3,1,-,-,-,-,6
280260 GRACHO CARDOSO,-,1,1,-,7,2,11,5,1,-,2,-,30
280270 ILHA DAS FLORES,-,1,-,-,2,-,1,-,-,-,-,-,4
280280 INDIAROBA,-,-,3,3,8,4,9,2,-,-,-,-,29
280290 ITABAIANA,-,1,6,12,14,9,18,10,-,1,1,-,72
280300 ITABAIANINHA,-,1,2,4,3,-,4,-,-,-,-,-,14
280310 ITABI,-,-,1,-,-,-,4,1,-,-,-,2,8
280320 ITAPORANGA D'AJUDA,-,-,1,-,2,1,7,5,1,1,-,-,18
280330 JAPARATUBA,-,-,-,1,2,-,1,-,-,-,-,-,4
280340 JAPOATA,-,-,-,1,1,-,1,-,-,-,-,-,3
280350 LAGARTO,-,5,12,12,26,24,47,23,2,2,1,1,155
280360 LARANJEIRAS,-,-,1,1,-,-,1,1,-,-,-,-,4
280370 MACAMBIRA,-,-,-,1,1,-,1,-,-,-,-,1,4
280380 MALHADA DOS BOIS,-,-,1,1,2,2,1,1,-,-,-,-,8
280390 MALHADOR,-,1,-,2,5,4,4,2,1,-,1,-,20
280400 MARUIM,-,1,-,-,1,-,-,1,-,-,-,-,3
280410 MOITA BONITA,-,-,-,3,8,5,5,3,-,-,1,-,25
280420 MONTE ALEGRE DE SERGIPE,-,-,3,2,10,6,17,5,1,1,2,1,48
280430 MURIBECA,-,2,2,2,1,5,4,1,-,-,-,-,17
280440 NEOPOLIS,-,-,-,-,-,-,-,3,-,-,-,-,3
280445 NOSSA SENHORA APARECIDA,-,2,-,1,1,-,4,4,-,1,1,1,15
280450 NOSSA SENHORA DA GLORIA,-,3,5,3,4,2,13,7,-,-,1,-,38
280460 NOSSA SENHORA DAS DORES,-,2,5,2,1,2,1,1,1,1,-,-,16
280470 NOSSA SENHORA DE LOURDES,-,-,-,-,-,-,2,-,-,-,-,-,2
280480 NOSSA SENHORA DO SOCORRO,-,2,26,37,43,36,107,35,3,2,1,-,292
280490 PACATUBA,-,-,-,1,-,-,2,1,-,-,-,1,5
280500 PEDRA MOLE,-,-,-,1,-,-,1,-,-,-,-,-,2
280520 PINHAO,-,-,1,-,1,-,1,1,-,-,-,-,4
280530 PIRAMBU,-,4,1,5,4,5,6,2,-,-,-,-,27
280540 POCO REDONDO,-,-,-,1,-,3,3,-,1,-,-,-,8
280550 POCO VERDE,-,-,-,-,-,-,1,-,-,-,-,-,1
280560 PORTO DA FOLHA,-,1,4,5,6,1,6,4,1,-,1,1,30
280570 PROPRIA,-,1,1,2,4,2,7,4,-,-,-,-,21
280590 RIACHUELO,-,-,-,1,-,-,-,-,1,-,-,-,2
280600 RIBEIROPOLIS,-,-,-,2,-,1,1,-,-,-,-,-,4
280620 SALGADO,-,1,1,-,1,1,4,1,-,-,1,-,10
280630 SANTA LUZIA DO ITANHY,-,-,1,2,2,4,5,10,-,-,3,-,27
280660 SANTO AMARO DAS BROTAS,-,-,1,3,1,2,1,-,-,-,-,-,8
280670 SAO CRISTOVAO,-,3,5,17,58,54,98,32,4,1,2,1,275
280680 SAO DOMINGOS,-,-,-,-,3,2,2,1,-,-,-,-,8
280690 SAO FRANCISCO,-,-,-,-,-,-,1,-,-,-,-,-,1
280700 SAO MIGUEL DO ALEIXO,-,-,-,1,-,2,5,2,-,-,1,1,12
280710 SIMAO DIAS,-,-,5,7,3,8,15,11,1,1,1,1,53
280730 TELHA,-,-,-,-,1,-,1,1,-,-,-,-,3
280740 TOBIAS BARRETO,-,-,-,-,2,-,1,-,1,-,-,-,4
280750 TOMAR DO GERU,-,-,-,-,1,1,2,1,-,-,-,-,5
280760 UMBAUBA,-,-,3,4,6,4,12,4,2,-,-,-,35
 MUNICIPIO IGNORADO - BA,-,-,-,-,-,-,-,1,-,-,-,-,1
290010 ABAIRA,-,-,-,1,-,-,-,-,2,-,-,-,3
290020 ABARE,-,-,-,-,1,-,9,4,-,-,-,-,14
290030 ACAJUTIBA,-,1,-,5,4,2,8,1,-,-,-,-,21
290035 ADUSTINA,-,-,-,3,-,-,2,-,1,-,-,-,6
290040 AGUA FRIA,-,-,-,1,1,-,-,2,-,-,-,-,4
290050 ERICO CARDOSO,-,-,-,-,2,2,12,22,1,-,4,1,44
290060 AIQUARA,-,4,5,6,7,29,26,17,1,3,7,-,105
290070 ALAGOINHAS,2,12,32,58,77,63,275,138,15,16,6,4,698
290080 ALCOBACA,-,2,3,5,6,8,11,23,1,1,-,1,61
290090 ALMADINA,2,-,2,7,4,8,11,12,1,1,2,1,51
290100 AMARGOSA,-,-,-,-,1,1,4,1,-,-,1,-,8
290110 AMELIA RODRIGUES,-,-,-,1,2,2,4,1,-,-,-,-,10
290115 AMERICA DOURADA,-,-,4,4,9,17,32,26,3,5,3,2,105
290120 ANAGE,-,-,-,1,1,6,2,3,-,-,1,2,16
290130 ANDARAI,-,-,2,7,11,10,26,13,1,-,3,-,73
290135 ANDORINHA,-,-,-,1,1,-,-,-,-,-,-,-,2
290140 ANGICAL,-,-,-,1,-,-,1,2,-,-,-,-,4
290150 ANGUERA,-,-,-,-,-,3,2,1,-,-,-,-,6
290160 ANTAS,-,-,-,-,1,2,1,3,-,-,-,-,7
290170 ANTONIO CARDOSO,-,-,-,-,-,1,4,3,-,-,-,-,8
290180 ANTONIO GONCALVES,-,-,-,1,-,-,-,-,-,-,-,-,1
290190 APORA,-,-,-,-,-,-,1,1,-,-,-,-,2
290195 APUAREMA,-,1,-,1,1,1,2,1,1,-,-,-,8
290200 ARACATU,-,-,-,-,-,-,-,1,-,-,-,-,1
290205 ARACAS,-,-,-,-,-,-,1,1,-,-,-,-,2
290210 ARACI,-,1,-,3,3,3,13,2,-,-,-,1,26
290220 ARAMARI,-,-,-,-,1,1,4,3,1,-,-,-,10
290225 ARATACA,-,-,-,-,1,2,-,1,-,1,-,-,5
290230 ARATUIPE,-,-,-,-,-,-,-,1,-,-,-,-,1
290240 AURELINO LEAL,-,1,2,1,5,-,9,3,1,-,2,1,25
290250 BAIANOPOLIS,2,-,1,-,-,1,1,2,-,-,-,-,7
290265 BANZAE,-,1,-,3,5,2,9,6,-,1,2,-,29
290270 BARRA,-,-,-,-,-,-,6,1,-,-,-,-,7
290280 BARRA DA ESTIVA,-,3,4,20,28,28,160,97,15,8,16,6,385
290290 BARRA DO CHOCA,-,-,1,2,2,2,15,7,-,-,-,-,29
290300 BARRA DO MENDES,-,-,-,-,3,1,9,8,1,2,1,2,27
290310 BARRA DO ROCHA,-,-,1,-,1,1,3,4,1,-,-,-,11
290320 BARREIRAS,1,2,4,5,11,10,77,40,6,2,5,-,163
290323 BARRO ALTO,-,-,1,-,-,-,1,2,2,-,-,-,6
290327 BARROCAS,-,-,-,3,2,2,5,3,-,-,-,-,15
290330 BARRO PRETO,-,-,-,-,-,1,7,4,-,-,1,-,13
290340 BELMONTE,-,2,16,21,34,31,121,123,15,14,20,7,404
290350 BELO CAMPO,-,-,-,-,-,1,2,3,-,-,-,-,6
290360 BIRITINGA,-,-,-,1,1,-,1,-,-,-,1,-,4
290370 BOA NOVA,-,3,1,1,2,6,13,19,2,2,2,4,55
290390 BOM JESUS DA LAPA,-,1,1,1,1,3,6,-,-,1,-,1,15
290395 BOM JESUS DA SERRA,-,-,-,-,2,-,1,-,-,-,-,-,3
290400 BONINAL,-,2,3,5,9,2,47,25,4,6,4,3,110
290405 BONITO,-,-,-,-,2,1,10,4,-,-,-,-,17
290410 BOQUIRA,-,2,5,4,10,5,22,14,1,-,4,-,67
290420 BOTUPORA,-,-,-,9,7,7,35,26,1,4,1,-,90
290440 BREJOLANDIA,-,-,7,9,19,16,53,42,4,1,2,4,157
290450 BROTAS DE MACAUBAS,-,1,2,2,6,6,9,9,-,1,-,-,36
290460 BRUMADO,-,-,1,1,6,4,21,11,1,1,1,1,48
290470 BUERAREMA,-,5,2,14,15,15,37,43,7,7,10,2,157
290475 BURITIRAMA,-,-,1,-,-,-,4,3,-,-,-,-,8
290480 CAATIBA,-,-,-,-,-,-,1,1,-,-,-,-,2
290485 CABACEIRAS DO PARAGUACU,-,-,1,3,7,5,19,17,3,1,2,-,58
290490 CACHOEIRA,-,-,-,-,1,-,4,2,-,-,-,-,7
290500 CACULE,-,-,-,-,-,2,10,9,1,1,3,1,27
290510 CAEM,-,-,-,-,-,-,2,2,-,-,-,-,4
290515 CAETANOS,-,-,1,2,2,2,11,3,2,-,2,-,25
290520 CAETITE,-,2,1,1,3,2,17,9,-,-,1,-,36
290530 CAFARNAUM,-,-,-,1,-,1,3,-,-,-,-,-,5
290540 CAIRU,-,-,-,-,-,-,1,-,-,-,-,-,1
290550 CALDEIRAO GRANDE,-,-,-,-,-,1,-,1,-,-,-,-,2
290560 CAMACAN,-,-,3,7,5,5,24,21,4,4,2,1,76
290570 CAMACARI,-,46,37,73,71,72,221,151,16,14,12,6,719
290580 CAMAMU,-,-,-,-,1,-,1,3,-,1,-,-,6
290590 CAMPO ALEGRE DE LOURDES,-,3,2,10,7,9,30,18,6,4,6,1,96
290600 CAMPO FORMOSO,-,1,2,-,1,2,2,1,-,-,-,-,9
290610 CANAPOLIS,-,-,-,-,-,2,2,-,1,-,1,-,6
290620 CANARANA,-,-,3,2,-,3,10,2,-,-,1,-,21
290630 CANAVIEIRAS,-,1,1,1,5,3,27,25,9,8,2,-,82
290640 CANDEAL,-,-,-,-,2,-,3,3,-,-,-,-,8
290650 CANDEIAS,-,2,1,7,14,5,10,1,-,-,-,1,41
290660 CANDIBA,-,-,2,2,1,3,7,3,-,1,3,1,23
290670 CANDIDO SALES,-,-,1,-,6,4,16,11,-,3,1,-,42
290680 CANSANCAO,-,-,1,-,1,-,1,2,-,-,-,-,5
290682 CANUDOS,-,-,-,-,-,-,1,-,-,-,-,-,1
290685 CAPELA DO ALTO ALEGRE,-,-,-,1,-,-,-,2,-,-,-,-,3
290687 CAPIM GROSSO,-,1,-,1,-,1,8,3,1,2,1,-,18
290689 CARAIBAS,-,-,-,-,-,-,2,3,-,-,-,1,6
290690 CARAVELAS,-,-,1,5,2,2,5,5,-,-,-,-,20
290700 CARDEAL DA SILVA,-,-,-,-,1,-,1,-,-,-,-,-,2
290710 CARINHANHA,-,2,3,12,12,9,38,24,3,2,4,-,109
290720 CASA NOVA,-,1,1,-,-,3,30,6,1,1,-,-,43
290730 CASTRO ALVES,-,2,2,4,2,9,17,11,1,-,-,-,48
290740 CATOLANDIA,-,1,1,-,-,-,2,-,-,-,-,-,4
290750 CATU,-,-,2,2,10,1,7,14,1,1,1,-,39
290755 CATURAMA,-,-,-,-,1,2,2,2,2,-,-,-,9
290760 CENTRAL,-,-,-,-,-,1,1,2,-,-,-,-,4
290770 CHORROCHO,-,1,-,2,3,-,7,1,-,-,1,-,15
290780 CICERO DANTAS,-,-,3,1,-,-,1,-,-,-,-,1,6
290800 COARACI,-,1,2,9,1,3,8,8,2,2,-,-,36
290810 COCOS,-,1,4,9,5,17,71,32,4,5,5,-,153
